FTR,HTP,ATP,HM1,HM2,HM3,AM1,AM2,AM3,HomeFormPoints,AwayFormPoints,HTWStreak3,HTWStreak5,HTLStreak3,HTLStreak5,ATWStreak3,ATWStreak5,ATLStreak3,ATLStreak5,HTGD,ATGD,PointsDiff,FormPointsDiff,HomeH2HStadiumPts,HomeH2HPts
NH,1.4,1.4,D,L,W,W,W,D,1.4,1.4,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.0,0,0
H,0.8,0.8,L,W,D,D,L,W,0.8,0.8,0,0,0,0,0,0,0,0,-0.6,-0.4,0.0,0.0,0,0
H,2.4,0.8,W,W,W,W,D,L,2.4,0.8,1,0,0,0,0,0,0,0,1.4,-0.4,1.6,1.6,0,0
H,0.8,0.6,L,D,L,L,L,W,0.8,0.6,0,0,0,0,0,0,0,0,-0.2,-0.8,0.2,0.2,0,0
H,0.8,0.2,W,D,L,L,L,L,0.8,0.2,0,0,0,0,0,0,1,0,-0.2,-1.6,0.6,0.6,0,0
H,0.4,0.8,L,D,L,D,L,L,0.4,0.8,0,0,0,0,0,0,0,0,-0.6,-0.4,-0.4,-0.4,0,0
H,1.6,0.2,W,D,W,L,D,L,1.6,0.2,0,0,0,0,0,0,0,0,1.0,-1.0,1.4,1.4,0,0
H,0.8,1.8,W,L,L,L,W,W,0.8,1.8,0,0,0,0,0,0,0,0,-0.2,0.8,-1.0,-1.0,0,0
H,1.6666666666666667,1.6666666666666667,W,W,W,L,D,W,2.0,2.0,1,0,0,0,0,0,0,0,0.8333333333333334,0.6666666666666666,0.0,0.0,0,0
H,0.6666666666666666,2.1666666666666665,L,W,D,W,W,W,0.8,2.6,0,0,0,0,1,0,0,0,-1.0,1.1666666666666667,-1.5,-1.8,0,0
H,1.6666666666666667,1.1666666666666667,W,W,D,L,D,L,2.0,1.4,0,0,0,0,0,0,0,0,0.5,-0.16666666666666666,0.5,0.6,0,0
H,1.5,1.1666666666666667,L,L,W,W,L,W,1.8,1.4,0,0,0,0,0,0,0,0,0.3333333333333333,0.0,0.3333333333333333,0.4,0,0
NH,0.8333333333333334,1.8333333333333333,L,L,D,W,W,D,1.0,2.2,0,0,0,0,0,0,0,0,-0.3333333333333333,1.0,-1.0,-1.2,0,0
NH,0.16666666666666666,1.1666666666666667,L,L,L,W,L,D,0.2,1.4,0,0,1,0,0,0,0,0,-1.8333333333333333,0.16666666666666666,-1.0,-1.2,0,0
NH,0.16666666666666666,1.1666666666666667,L,L,D,W,W,D,0.2,1.4,0,0,0,0,0,0,0,0,-1.0,0.3333333333333333,-1.0,-1.2,0,0
NH,0.6666666666666666,2.5,L,D,L,W,W,W,0.8,3.0,0,0,0,0,1,1,0,0,-0.5,1.8333333333333333,-1.8333333333333333,-2.2,0,0
NH,0.5,0.8333333333333334,L,L,L,W,L,D,0.6,1.0,0,0,1,0,0,0,0,0,-1.0,-0.3333333333333333,-0.3333333333333333,-0.4,0,0
H,0.6666666666666666,1.1666666666666667,L,D,L,W,W,L,0.8,1.4,0,0,0,0,0,0,0,0,-0.8333333333333334,0.16666666666666666,-0.5,-0.6,0,0
NH,1.8571428571428572,1.4285714285714286,L,W,W,W,W,W,2.4,2.0,0,0,0,0,1,0,0,0,0.8571428571428571,0.42857142857142855,0.42857142857142855,0.4,0,0
NH,1.0,1.4285714285714286,L,L,D,L,L,D,0.8,1.4,0,0,0,0,0,0,0,0,-0.7142857142857143,0.14285714285714285,-0.42857142857142855,-0.6,0,0
NH,0.14285714285714285,1.1428571428571428,L,L,L,D,W,L,0.2,1.0,0,0,1,0,0,0,0,0,-1.0,0.14285714285714285,-1.0,-0.8,0,0
NH,0.5714285714285714,1.8571428571428572,L,L,D,W,W,W,0.2,2.0,0,0,0,0,1,0,0,0,-0.7142857142857143,1.0,-1.2857142857142858,-1.8,0,0
NH,1.0,1.0,L,W,W,W,L,W,1.2,1.4,0,0,0,0,0,0,0,0,-0.14285714285714285,-0.7142857142857143,0.0,-0.2,0,0
NH,0.42857142857142855,0.7142857142857143,L,L,L,L,L,L,0.6,0.8,0,0,1,0,0,0,1,0,-1.2857142857142858,-0.42857142857142855,-0.2857142857142857,-0.2,0,0
NH,1.0,1.8571428571428572,W,L,D,W,W,W,1.4,2.6,0,0,0,0,1,0,0,0,-0.42857142857142855,1.1428571428571428,-0.8571428571428571,-1.2,0,0
NH,1.0,1.1428571428571428,L,W,L,W,W,L,1.4,1.4,0,0,0,0,0,0,0,0,-0.42857142857142855,0.14285714285714285,-0.14285714285714285,0.0,0,0
